x,y,z,xt,yt,zt
0.405232, 0.116223, -0.559078,-0.000027, 0.000002, -0.000002
0.373951, -0.364629, -0.972433,0.000409, 0.005873, -0.021953
0.143136, -0.060878, -0.848743,0.000487, 0.006768, -0.025401
0.460837, 0.006541, -0.955248,-0.011233, 0.024524, -0.096965
0.043422, 0.133048, -0.548626,-0.017051, 0.039643, -0.159101
0.324263, -0.136820, -0.637066,-0.015687, 0.042650, -0.170810
0.007039, -0.136171, -0.821203,-0.015570, 0.043345, -0.176639
1.143194, -0.276837, -1.031239,0.001202, 0.050122, -0.206880
0.633689, -0.338244, -0.737907,0.011808, 0.052786, -0.221231
0.427214, 0.051392, -0.566737,0.028717, 0.056827, -0.236617
0.615280, -0.249864, -0.614364,0.059549, 0.060063, -0.257703
0.599514, 0.035455, -0.487439,0.081504, 0.062726, -0.269298
0.589715, -0.516523, -0.921557,0.087106, 0.063134, -0.272731
0.483915, -0.450826, -0.781732,0.095919, 0.064123, -0.277783
0.855883, -0.212444, -0.499383,0.108043, 0.067052, -0.285459
0.962735, -0.244466, -0.829341,0.162651, 0.073134, -0.317001
0.571929, 0.032266, -0.555583,0.189018, 0.074868, -0.326112
0.587652, 0.071589, -0.441306,0.200762, 0.075186, -0.329492
0.067913, -0.092540, -0.914414,0.222402, 0.075408, -0.334650
0.003068, -0.182864, -0.800480,0.279569, 0.074071, -0.326652
0.645557, 0.026690, -0.505942,0.291221, 0.073587, -0.323064
0.178581, -0.078070, -0.964656,0.313348, 0.070557, -0.312470
0.922920, -0.199958, -0.914184,0.328399, 0.067944, -0.302920
0.159748, 0.046956, -0.665819,0.342881, 0.066398, -0.294307
0.730620, -0.068168, -0.614072,0.348899, 0.065657, -0.289987
0.589908, 0.074302, -0.506677,0.372283, 0.061137, -0.278041
1.698018, -0.960803, -1.889890,0.388451, 0.057874, -0.259623
0.082768, 0.139552, -0.565757,0.393174, 0.055809, -0.251030
1.060155, -0.803187, -0.986951,0.396799, 0.053564, -0.242145
0.891725, -0.095938, -0.528851,0.398959, 0.051833, -0.234440
1.584466, -0.377440, -0.802189,0.402769, 0.049201, -0.222342
1.189626, -0.443948, -1.011213,0.410349, 0.036381, -0.169222
0.585734, -0.468027, -0.774413,0.412542, 0.029536, -0.143357
1.109917, -0.199131, -0.698934,0.412168, 0.024475, -0.123549
0.600146, 0.062484, -0.313465,0.412678, 0.020611, -0.109850
0.817910, -0.185195, -0.746080,0.416829, 0.004223, -0.045568
1.433487, -1.104746, -1.261401,0.417038, 0.002606, -0.039754
0.647698, -0.369935, -0.693971,0.417978, 0.001078, -0.034287
1.093215, -0.836665, -1.014817,0.422402, -0.019802, 0.042390
1.483479, -0.436370, -0.773086,0.421880, -0.020716, 0.047063
0.552636, 0.063843, -0.444898,0.420713, -0.022632, 0.054206
0.514929, -0.088515, -0.604345,0.418656, -0.029551, 0.080280
0.449881, -0.543269, -1.032386,0.414378, -0.046361, 0.151312
1.074663, -0.917622, -0.833373,0.410021, -0.059346, 0.206941
0.322981, 0.034471, -0.582442,0.408290, -0.066604, 0.236261
1.306277, -0.549295, -1.029092,0.407669, -0.067753, 0.239621
1.133333, -0.227209, -0.853321,0.405582, -0.083126, 0.302777
0.979486, -0.228026, -0.913811,0.406164, -0.090662, 0.333078
0.877425, -0.313407, -0.543178,0.405212, -0.093019, 0.343850
0.905397, -0.233379, -0.918389,0.404516, -0.105222, 0.389965
0.976722, -0.214467, -0.952458,0.404838, -0.106445, 0.395065
0.459007, -0.102198, -0.514120,0.405022, -0.107708, 0.400385
1.359812, -0.794962, -0.772551,0.407300, -0.116997, 0.439154
1.174381, -0.949818, -0.858178,0.406863, -0.120985, 0.454426
0.695799, -0.393918, -0.724195,0.406716, -0.122415, 0.459758
0.936504, -0.186917, -0.444045,0.406429, -0.123693, 0.466284
0.500809, -0.378690, -0.647565,0.389315, -0.134550, 0.516368
0.578551, 0.076562, -0.340354,0.387535, -0.135551, 0.520592
0.515779, -0.393462, -0.661441,0.386079, -0.136351, 0.524875
0.929372, -0.175142, -0.703644,0.382782, -0.138417, 0.533662
0.708517, -0.241858, -0.846751,0.366671, -0.144645, 0.558841
0.376308, -0.320192, -0.748463,0.350897, -0.147292, 0.569716
0.702480, 0.058347, -0.452057,0.347338, -0.147430, 0.570601
0.738907, -0.354830, -0.824091,0.316952, -0.151301, 0.586632
0.304476, 0.075221, -0.625565,0.302196, -0.153157, 0.594838
0.108360, 0.092708, -0.357375,0.286845, -0.154935, 0.603212
0.744805, -0.068838, -0.624521,0.282553, -0.155441, 0.604686
0.590998, 0.060279, -0.403732,0.234428, -0.159390, 0.621866
1.188169, -1.022176, -0.910747,0.221690, -0.159477, 0.623353
1.213270, -0.580506, -0.842499,0.206646, -0.159382, 0.625268
0.585127, 0.064693, -0.459126,0.199084, -0.159289, 0.626203
0.601960, 0.062036, -0.314696,0.170705, -0.158573, 0.623747
0.387210, -0.031507, -1.329263,0.167320, -0.158180, 0.622603
0.755837, -0.428447, -0.433394,0.163349, -0.157644, 0.621094
1.016621, -0.141014, -0.662646,0.155834, -0.156630, 0.617125
1.765474, -0.820621, -1.242242,0.131012, -0.152217, 0.600226
0.139536, 0.047883, -0.610310,0.111514, -0.148872, 0.587362
1.134780, -0.720874, -0.946522,0.099589, -0.145861, 0.579156
0.275367, -0.109244, -1.101885,0.088577, -0.143103, 0.566696
0.806389, -0.144748, -0.425022,0.061850, -0.131648, 0.524421
